HCG 1| z = 0.0339
HCG 4| z = 0.0280
HCG 5| z = 0.0410
HCG 6| z = 0.0379
HCG 8| z = 0.0545
HCG 10| z = 0.0161
HCG 16| z = 0.0132
HCG 17| z = 0.0603
HCG 18| z = 0.0000
HCG 26| z = 0.0316
HCG 29| z = 0.1047
HCG 31| z = 0.0137
HCG 39| z = 0.0701
HCG 40| z = 0.0223
HCG 44| z = 0.0046
HCG 50| z = 0.1392
HCG 55| z = 0.0526
HCG 56| z = 0.0270
HCG 57| z = 0.0304
HCG 61| z = 0.0130
HCG 68| z = 0.0080
HCG 72| z = 0.0421
HCG 79| z = 0.0145
HCG 88| z = 0.0201
HCG 91| z = 0.0238
HCG 92| z = 0.0215
HCG 94| z = 0.0417
HCG 95| z = 0.0396
