HCG 1| z = 0.0339
HCG 2| z = 0.0144
HCG 3| z = 0.0255
HCG 4| z = 0.0280
HCG 5| z = 0.0410
HCG 6| z = 0.0379
HCG 7| z = 0.0141
HCG 8| z = 0.0545
HCG 9| z = 0.0000
HCG 10| z = 0.0161
HCG 11| z = 0.0000
HCG 12| z = 0.0485
HCG 13| z = 0.0411
HCG 14| z = 0.0183
HCG 15| z = 0.0228
HCG 16| z = 0.0132
HCG 17| z = 0.0603
HCG 18| z = 0.0000
HCG 19| z = 0.0000
HCG 20| z = 0.0484
HCG 21| z = 0.0251
HCG 22| z = 0.0090
HCG 23| z = 0.0161
HCG 24| z = 0.0305
HCG 25| z = 0.0212
HCG 26| z = 0.0316
HCG 27| z = 0.0874
HCG 28| z = 0.0380
HCG 29| z = 0.1047
HCG 30| z = 0.0154
HCG 31| z = 0.0137
HCG 32| z = 0.0408
HCG 33| z = 0.0260
HCG 34| z = 0.0307
HCG 35| z = 0.0542
HCG 36| z = 0.0000
HCG 37| z = 0.0223
HCG 38| z = 0.0292
HCG 39| z = 0.0701
HCG 40| z = 0.0223
HCG 41| z = 0.0000
HCG 42| z = 0.0133
HCG 43| z = 0.0330
HCG 44| z = 0.0046
HCG 45| z = 0.0732
HCG 46| z = 0.0270
HCG 47| z = 0.0317
HCG 48| z = 0.0094
HCG 49| z = 0.0332
HCG 50| z = 0.1392
HCG 51| z = 0.0258
HCG 52| z = 0.0430
HCG 53| z = 0.0206
HCG 54| z = 0.0049
HCG 55| z = 0.0526
HCG 56| z = 0.0270
HCG 57| z = 0.0304
HCG 58| z = 0.0207
HCG 59| z = 0.0135
HCG 60| z = 0.0625
HCG 61| z = 0.0130
HCG 62| z = 0.0137
HCG 63| z = 0.0311
HCG 64| z = 0.0360
HCG 65| z = 0.0475
HCG 66| z = 0.0699
HCG 67| z = 0.0245
HCG 68| z = 0.0080
HCG 69| z = 0.0294
HCG 70| z = 0.0636
HCG 71| z = 0.0301
HCG 72| z = 0.0421
HCG 73| z = 0.0449
HCG 74| z = 0.0399
HCG 75| z = 0.0416
HCG 76| z = 0.0340
HCG 77| z = 0.0000
HCG 78| z = 0.0000
HCG 79| z = 0.0145
HCG 80| z = 0.0310
HCG 81| z = 0.0499
HCG 82| z = 0.0362
HCG 83| z = 0.0531
HCG 84| z = 0.0556
HCG 85| z = 0.0393
HCG 86| z = 0.0199
HCG 87| z = 0.0296
HCG 88| z = 0.0201
HCG 89| z = 0.0297
HCG 90| z = 0.0088
HCG 91| z = 0.0238
HCG 92| z = 0.0215
HCG 93| z = 0.0168
HCG 94| z = 0.0417
HCG 95| z = 0.0396
HCG 96| z = 0.0292
HCG 97| z = 0.0218
HCG 98| z = 0.0266
HCG 99| z = 0.0290
