NGC 185|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;vL;iR;vgmbM;r___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 707;Dwarf eliptical; Member Local Group ___REPLACE_PIPE___
NGC 300|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;vL;vmiE;vgpmbM___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___Large S-shaped;loose structured spiral ___REPLACE_PIPE___
NGC 404|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;cL;R;gbM___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 224;UGC 718;Beta AND sf 6' ___REPLACE_PIPE___
NGC 488|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;L;R;svmbM;*8F10'___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___delicate spiral pattern ___REPLACE_PIPE___
NGC 821|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;vS;vlE;svmbM;* np___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H I 152;UGC 1631 ___REPLACE_PIPE___
NGC 986|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;L;pmE;sbM;BI-N___REPLACE_PIPE___ 
NGC 1087|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;cL;lE;mbM___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 466;In NGC1068 grp;P w NGC1090 @15' and NGC1094 @ 20' ___REPLACE_PIPE___
NGC 1232|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;cL;R;gbM;r___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 258;Excellent face-on spiral ___REPLACE_PIPE___
NGC 1313|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;L;E;vgbM;r___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___Nuclear bar ___REPLACE_PIPE___
NGC 1371|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;pL;vlE;psbM___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 262 ___REPLACE_PIPE___
NGC 1385|\\textbf{Dreyer: }\\verb___REPLACE_PIPE___pB;pS;R;gpmbM___REPLACE_PIPE___ \\\\ \\textbf{SAC: } \\verb___REPLACE_PIPE___H II 263 ___REPLACE_PIPE___
